########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.00001                         # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 1.64408E-06             # Initial mass fractions         #
# X( 14N  ) = 5.32365E-07                                              #
# X( 16O  ) = 4.41094E-06                                              #
# X( 20Ne ) = 7.77433E-07                                              #
# X( 24Mg ) = 3.79406E-07                                              #
# X( 28Si ) = 5.04953E-07                                              #
# X( 32S  ) = 2.65556E-07                                              #
# X( 40Ca ) = 4.78345E-08                                              #
# X( 48Ti ) = 1.65934E-09                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.499990   0.000010       0.501       1.0       1.0       1.0
 2   0.5   0.499989   0.000011       0.898       1.8       1.0       1.0
 3   0.5   0.499988   0.000012       0.997       2.0       1.0       1.0
 4   0.5   0.499988   0.000012       1.096       2.2       1.0       1.0
 5   0.5   0.499926   0.000074      19.831      40.0       1.0       1.0
 6   0.5   0.498759   0.001241     371.732     750.0       1.0       1.0
 7   0.5   0.475330   0.024670    7434.532   15000.0       1.0       1.0
 8   0.7   0.299990   0.000010       0.501       1.0       1.0       1.0
 9   0.7   0.299989   0.000011       0.898       1.8       1.0       1.0
10   0.7   0.299988   0.000012       0.997       2.0       1.0       1.0
11   0.7   0.299988   0.000012       1.096       2.2       1.0       1.0
12   0.7   0.299926   0.000074      19.831      40.0       1.0       1.0
13   0.7   0.298759   0.001241     371.732     750.0       1.0       1.0
14   0.7   0.275330   0.024670    7434.532   15000.0       1.0       1.0
15   0.8   0.199990   0.000010       0.501       1.0       1.0       1.0
16   0.8   0.199989   0.000011       0.898       1.8       1.0       1.0
17   0.8   0.199988   0.000012       0.997       2.0       1.0       1.0
18   0.8   0.199988   0.000012       1.096       2.2       1.0       1.0
19   0.8   0.199926   0.000074      19.831      40.0       1.0       1.0
20   0.8   0.198759   0.001241     371.732     750.0       1.0       1.0
