########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.02                            # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 3.28816E-03             # Initial mass fractions         #
# X( 14N  ) = 1.06473E-03                                              #
# X( 16O  ) = 8.82187E-03                                              #
# X( 20Ne ) = 1.55487E-03                                              #
# X( 24Mg ) = 7.58811E-04                                              #
# X( 28Si ) = 1.00991E-03                                              #
# X( 32S  ) = 5.31113E-04                                              #
# X( 40Ca ) = 9.56690E-05                                              #
# X( 48Ti ) = 3.31868E-06                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.480000   0.020000       0.501       1.0       1.0       1.0
 2   0.5   0.478356   0.021644       0.749       1.5       1.0       1.0
 3   0.5   0.477369   0.022631       0.898       1.8       1.0       1.0
 4   0.5   0.476712   0.023288       0.997       2.0       1.0       1.0
 5   0.5   0.476054   0.023946       1.096       2.2       1.0       1.0
 6   0.5   0.473424   0.026576       1.492       3.0       1.0       1.0
 7   0.5   0.466847   0.033153       2.484       5.0       1.0       1.0
 8   0.7   0.280000   0.020000       0.501       1.0       1.0       1.0
 9   0.7   0.278356   0.021644       0.749       1.5       1.0       1.0
10   0.7   0.277369   0.022631       0.898       1.8       1.0       1.0
11   0.7   0.276712   0.023288       0.997       2.0       1.0       1.0
12   0.7   0.276054   0.023946       1.096       2.2       1.0       1.0
13   0.7   0.273424   0.026576       1.492       3.0       1.0       1.0
14   0.7   0.266847   0.033153       2.484       5.0       1.0       1.0
15   0.8   0.180000   0.020000       0.501       1.0       1.0       1.0
16   0.8   0.178356   0.021644       0.749       1.5       1.0       1.0
17   0.8   0.177369   0.022631       0.898       1.8       1.0       1.0
18   0.8   0.176712   0.023288       0.997       2.0       1.0       1.0
19   0.8   0.176054   0.023946       1.096       2.2       1.0       1.0
20   0.8   0.173424   0.026576       1.492       3.0       1.0       1.0
21   0.8   0.166847   0.033153       2.484       5.0       1.0       1.0
22   0.5   0.479468   0.020532       0.501       1.0       1.5       1.0
23   0.5   0.477824   0.022176       0.749       1.5       1.5       1.0
24   0.5   0.476837   0.023163       0.898       1.8       1.5       1.0
25   0.5   0.476179   0.023821       0.997       2.0       1.5       1.0
26   0.5   0.475522   0.024478       1.096       2.2       1.5       1.0
27   0.5   0.472891   0.027109       1.492       3.0       1.5       1.0
28   0.5   0.466315   0.033685       2.484       5.0       1.5       1.0
29   0.7   0.279468   0.020532       0.501       1.0       1.5       1.0
30   0.7   0.277824   0.022176       0.749       1.5       1.5       1.0
31   0.7   0.276837   0.023163       0.898       1.8       1.5       1.0
32   0.7   0.276179   0.023821       0.997       2.0       1.5       1.0
33   0.7   0.275522   0.024478       1.096       2.2       1.5       1.0
34   0.7   0.272891   0.027109       1.492       3.0       1.5       1.0
35   0.7   0.266315   0.033685       2.484       5.0       1.5       1.0
36   0.8   0.179468   0.020532       0.501       1.0       1.5       1.0
