########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.0003                          # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 4.93225E-05             # Initial mass fractions         #
# X( 14N  ) = 1.59710E-05                                              #
# X( 16O  ) = 1.32328E-04                                              #
# X( 20Ne ) = 2.33230E-05                                              #
# X( 24Mg ) = 1.13822E-05                                              #
# X( 28Si ) = 1.51486E-05                                              #
# X( 32S  ) = 7.96669E-06                                              #
# X( 40Ca ) = 1.43504E-06                                              #
# X( 48Ti ) = 4.97802E-08                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.499700   0.000300       0.501       1.0       1.0       1.0
 2   0.5   0.499661   0.000339       0.898       1.8       1.0       1.0
 3   0.5   0.499651   0.000349       0.997       2.0       1.0       1.0
 4   0.5   0.499641   0.000359       1.096       2.2       1.0       1.0
 5   0.5   0.499157   0.000843       5.953      12.0       1.0       1.0
 6   0.5   0.496050   0.003950      37.178      75.0       1.0       1.0
 7   0.5   0.475088   0.024912     247.823     500.0       1.0       1.0
 8   0.7   0.299700   0.000300       0.501       1.0       1.0       1.0
 9   0.7   0.299661   0.000339       0.898       1.8       1.0       1.0
10   0.7   0.299651   0.000349       0.997       2.0       1.0       1.0
11   0.7   0.299641   0.000359       1.096       2.2       1.0       1.0
12   0.7   0.299157   0.000843       5.953      12.0       1.0       1.0
13   0.7   0.296050   0.003950      37.178      75.0       1.0       1.0
14   0.7   0.275088   0.024912     247.823     500.0       1.0       1.0
15   0.8   0.199700   0.000300       0.501       1.0       1.0       1.0
16   0.8   0.199661   0.000339       0.898       1.8       1.0       1.0
17   0.8   0.199651   0.000349       0.997       2.0       1.0       1.0
18   0.8   0.199641   0.000359       1.096       2.2       1.0       1.0
19   0.8   0.199157   0.000843       5.953      12.0       1.0       1.0
20   0.8   0.196050   0.003950      37.178      75.0       1.0       1.0
21   0.8   0.175088   0.024912     247.823     500.0       1.0       1.0
22   0.5   0.499604   0.000396       0.501       1.0       7.0       1.0
23   0.5   0.499565   0.000435       0.898       1.8       7.0       1.0
24   0.5   0.499555   0.000445       0.997       2.0       7.0       1.0
25   0.5   0.499545   0.000455       1.096       2.2       7.0       1.0
26   0.5   0.499062   0.000938       5.953      12.0       7.0       1.0
27   0.5   0.495954   0.004046      37.178      75.0       7.0       1.0
28   0.5   0.474992   0.025008     247.823     500.0       7.0       1.0
29   0.7   0.299604   0.000396       0.501       1.0       7.0       1.0
30   0.7   0.299565   0.000435       0.898       1.8       7.0       1.0
31   0.7   0.299555   0.000445       0.997       2.0       7.0       1.0
32   0.7   0.299545   0.000455       1.096       2.2       7.0       1.0
33   0.7   0.299062   0.000938       5.953      12.0       7.0       1.0
34   0.7   0.295954   0.004046      37.178      75.0       7.0       1.0
35   0.7   0.274992   0.025008     247.823     500.0       7.0       1.0
36   0.8   0.199604   0.000396       0.501       1.0       7.0       1.0
37   0.8   0.199565   0.000435       0.898       1.8       7.0       1.0
38   0.8   0.199555   0.000445       0.997       2.0       7.0       1.0
39   0.8   0.199545   0.000455       1.096       2.2       7.0       1.0
40   0.8   0.199062   0.000938       5.953      12.0       7.0       1.0
41   0.8   0.195954   0.004046      37.178      75.0       7.0       1.0
42   0.8   0.174992   0.025008     247.823     500.0       7.0       1.0
43   0.5   0.498917   0.001083       0.501       1.0      50.0       1.0
44   0.5   0.498878   0.001122       0.898       1.8      50.0       1.0
45   0.5   0.498868   0.001132       0.997       2.0      50.0       1.0
46   0.5   0.498858   0.001142       1.096       2.2      50.0       1.0
47   0.5   0.498375   0.001625       5.953      12.0      50.0       1.0
48   0.5   0.495268   0.004732      37.178      75.0      50.0       1.0
49   0.5   0.474306   0.025694     247.823     500.0      50.0       1.0
50   0.7   0.298917   0.001083       0.501       1.0      50.0       1.0
51   0.7   0.298878   0.001122       0.898       1.8      50.0       1.0
52   0.7   0.298868   0.001132       0.997       2.0      50.0       1.0
53   0.7   0.298858   0.001142       1.096       2.2      50.0       1.0
54   0.7   0.298375   0.001625       5.953      12.0      50.0       1.0
55   0.7   0.295268   0.004732      37.178      75.0      50.0       1.0
56   0.7   0.274306   0.025694     247.823     500.0      50.0       1.0
57   0.8   0.198917   0.001083       0.501       1.0      50.0       1.0
58   0.8   0.198878   0.001122       0.898       1.8      50.0       1.0
59   0.8   0.198868   0.001132       0.997       2.0      50.0       1.0
60   0.8   0.198858   0.001142       1.096       2.2      50.0       1.0
61   0.8   0.198375   0.001625       5.953      12.0      50.0       1.0
62   0.8   0.195268   0.004732      37.178      75.0      50.0       1.0
63   0.8   0.174306   0.025694     247.823     500.0      50.0       1.0
########################################################################










##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.499700   0.000300       0.501       1.0       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
3.200 -5.533 -5.009 -4.465 -4.128 -4.006 -3.970 -3.957 -3.952 -3.949 -3.946 -3.944 -3.942 -3.939 -3.936 -3.933 -3.930 -3.927
3.250 -6.099 -5.992 -5.758 -5.360 -4.835 -4.307 -3.976 -3.845 -3.802 -3.786 -3.777 -3.772 -3.767 -3.762 -3.757 -3.751 -3.744
3.300 -5.925 -5.966 -5.979 -5.933 -5.783 -5.481 -5.035 -4.506 -4.056 -3.806 -3.709 -3.672 -3.654 -3.641 -3.630 -3.620 -3.608
3.350 -5.604 -5.649 -5.700 -5.751 -5.791 -5.790 -5.692 -5.447 -5.060 -4.571 -4.107 -3.793 -3.644 -3.577 -3.536 -3.503 -3.474
3.400 -5.414 -5.422 -5.442 -5.470 -5.504 -5.543 -5.577 -5.581 -5.502 -5.282 -4.917 -4.440 -3.985 -3.661 -3.478 -3.369 -3.288
3.450 -5.345 -5.337 -5.324 -5.313 -5.308 -5.311 -5.319 -5.321 -5.302 -5.243 -5.118 -4.877 -4.479 -3.990 -3.563 -3.266 -3.076
3.500 -5.010 -5.109 -5.180 -5.219 -5.228 -5.215 -5.184 -5.135 -5.063 -4.952 -4.791 -4.579 -4.324 -4.020 -3.652 -3.256 -2.920
3.550 -4.269 -4.437 -4.592 -4.732 -4.854 -4.950 -5.009 -5.014 -4.946 -4.793 -4.549 -4.240 -3.901 -3.559 -3.230 -2.917 -2.618
3.600 -3.439 -3.645 -3.840 -4.022 -4.189 -4.337 -4.455 -4.525 -4.522 -4.429 -4.242 -3.968 -3.622 -3.237 -2.848 -2.473 -2.133
3.650 -2.614 -2.843 -3.064 -3.274 -3.470 -3.642 -3.772 -3.833 -3.805 -3.691 -3.513 -3.297 -3.053 -2.781 -2.473 -2.129 -1.767
3.700 -1.852 -2.085 -2.316 -2.540 -2.752 -2.939 -3.077 -3.130 -3.079 -2.943 -2.755 -2.541 -2.312 -2.071 -1.819 -1.554 -1.272
3.750 -1.208 -1.414 -1.629 -1.844 -2.051 -2.234 -2.368 -2.416 -2.362 -2.224 -2.038 -1.827 -1.605 -1.374 -1.135 -0.889 -0.636
3.800 -0.799 -0.906 -1.050 -1.213 -1.377 -1.525 -1.630 -1.666 -1.619 -1.500 -1.334 -1.143 -0.938 -0.724 -0.501 -0.268 -0.026
3.850 -0.685 -0.683 -0.693 -0.727 -0.784 -0.845 -0.888 -0.892 -0.848 -0.756 -0.626 -0.469 -0.294 -0.106  0.094  0.307  0.533
3.900 -0.677 -0.650 -0.596 -0.509 -0.403 -0.305 -0.225 -0.156 -0.087 -0.007  0.092  0.211  0.347  0.499  0.666  0.849  1.050
3.950 -0.683 -0.657 -0.598 -0.481 -0.292 -0.044  0.212  0.419  0.571  0.685  0.781  0.873  0.972  1.084  1.211  1.360  1.529
4.000 -0.675 -0.662 -0.614 -0.503 -0.305 -0.009  0.353  0.714  1.005  1.210  1.347  1.448  1.532  1.619  1.715  1.830  1.966
4.050 -0.618 -0.626 -0.607 -0.523 -0.345 -0.059  0.320  0.748  1.157  1.487  1.720  1.874  1.981  2.066  2.148  2.241  2.353










##     X          Y          Z         C/O       12C       14N     Alpha
 2   0.5   0.499661   0.000339       0.898       1.8       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
3.200 -5.978 -5.632 -5.227 -4.953 -4.847 -4.812 -4.799 -4.792 -4.787 -4.779 -4.764 -4.738 -4.707 -4.679 -4.660 -4.648 -4.640
3.250 -6.147 -6.113 -6.020 -5.812 -5.461 -5.061 -4.783 -4.667 -4.625 -4.607 -4.596 -4.585 -4.567 -4.540 -4.508 -4.479 -4.456
3.300 -5.938 -5.983 -6.006 -5.995 -5.931 -5.783 -5.518 -5.154 -4.799 -4.586 -4.496 -4.456 -4.432 -4.411 -4.385 -4.351 -4.313
3.350 -5.602 -5.650 -5.704 -5.761 -5.810 -5.832 -5.794 -5.654 -5.402 -5.069 -4.719 -4.462 -4.324 -4.246 -4.190 -4.141 -4.093
3.400 -5.407 -5.413 -5.431 -5.459 -5.496 -5.539 -5.580 -5.601 -5.570 -5.436 -5.178 -4.811 -4.424 -4.132 -3.952 -3.834 -3.742
3.450 -5.340 -5.331 -5.317 -5.305 -5.297 -5.296 -5.298 -5.296 -5.277 -5.227 -5.132 -4.965 -4.681 -4.283 -3.887 -3.594 -3.401
3.500 -5.005 -5.104 -5.175 -5.214 -5.222 -5.205 -5.171 -5.119 -5.042 -4.924 -4.758 -4.549 -4.309 -4.044 -3.747 -3.423 -3.121
3.550 -4.267 -4.435 -4.590 -4.730 -4.851 -4.947 -5.004 -5.006 -4.935 -4.777 -4.532 -4.222 -3.883 -3.542 -3.218 -2.917 -2.643
3.600 -3.439 -3.644 -3.839 -4.021 -4.188 -4.335 -4.453 -4.523 -4.520 -4.425 -4.237 -3.962 -3.615 -3.230 -2.841 -2.467 -2.128
3.650 -2.614 -2.843 -3.063 -3.274 -3.469 -3.641 -3.771 -3.833 -3.805 -3.690 -3.512 -3.296 -3.052 -2.779 -2.470 -2.126 -1.764
3.700 -1.852 -2.085 -2.316 -2.539 -2.752 -2.939 -3.077 -3.129 -3.078 -2.942 -2.755 -2.540 -2.311 -2.070 -1.818 -1.552 -1.270
3.750 -1.208 -1.414 -1.629 -1.844 -2.051 -2.234 -2.368 -2.416 -2.361 -2.224 -2.037 -1.827 -1.604 -1.373 -1.135 -0.889 -0.635
3.800 -0.799 -0.906 -1.050 -1.213 -1.377 -1.525 -1.630 -1.666 -1.619 -1.500 -1.334 -1.143 -0.938 -0.724 -0.500 -0.268 -0.026
3.850 -0.685 -0.683 -0.693 -0.727 -0.784 -0.845 -0.888 -0.892 -0.848 -0.756 -0.626 -0.469 -0.294 -0.105  0.095  0.308  0.534
3.900 -0.677 -0.650 -0.596 -0.509 -0.403 -0.305 -0.225 -0.156 -0.087 -0.007  0.092  0.211  0.348  0.499  0.666  0.849  1.050
3.950 -0.683 -0.657 -0.598 -0.481 -0.292 -0.044  0.212  0.420  0.571  0.685  0.781  0.874  0.972  1.085  1.212  1.360  1.530
4.000 -0.675 -0.662 -0.614 -0.503 -0.304 -0.009  0.353  0.714  1.006  1.211  1.348  1.449  1.533  1.620  1.716  1.831  1.968
4.050 -0.618 -0.626 -0.606 -0.523 -0.345 -0.059  0.321  0.749  1.158  1.488  1.721  1.875  1.982  2.067  2.150  2.243  2.355










##     X          Y          Z         C/O       12C       14N     Alpha
 3   0.5   0.499651   0.000349       0.997       2.0       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
3.200 -6.424 -6.458 -6.473 -6.459 -6.423 -6.379 -6.328 -6.256 -6.144 -5.978 -5.748 -5.510 -5.286 -5.042 -4.803 -4.607 -4.495
3.250 -6.205 -6.213 -6.228 -6.247 -6.260 -6.249 -6.205 -6.137 -6.053 -5.955 -5.834 -5.687 -5.524 -5.362 -5.175 -4.950 -4.732
3.300 -5.966 -6.019 -6.053 -6.067 -6.067 -6.057 -6.033 -5.986 -5.915 -5.827 -5.725 -5.609 -5.487 -5.374 -5.266 -5.133 -4.948
3.350 -5.600 -5.650 -5.710 -5.774 -5.834 -5.878 -5.892 -5.861 -5.782 -5.665 -5.532 -5.405 -5.292 -5.183 -5.067 -4.937 -4.784
3.400 -5.406 -5.411 -5.428 -5.454 -5.489 -5.531 -5.573 -5.601 -5.598 -5.545 -5.426 -5.244 -5.035 -4.843 -4.677 -4.514 -4.331
3.450 -5.339 -5.330 -5.316 -5.303 -5.295 -5.292 -5.292 -5.286 -5.261 -5.205 -5.112 -4.977 -4.789 -4.543 -4.272 -4.020 -3.793
3.500 -5.004 -5.103 -5.174 -5.213 -5.220 -5.203 -5.169 -5.116 -5.037 -4.918 -4.749 -4.536 -4.293 -4.035 -3.767 -3.498 -3.242
3.550 -4.266 -4.434 -4.589 -4.729 -4.850 -4.946 -5.003 -5.005 -4.932 -4.774 -4.528 -4.218 -3.879 -3.537 -3.212 -2.912 -2.642
3.600 -3.438 -3.644 -3.838 -4.020 -4.188 -4.335 -4.453 -4.523 -4.519 -4.424 -4.236 -3.960 -3.614 -3.229 -2.840 -2.466 -2.127
3.650 -2.614 -2.842 -3.063 -3.274 -3.469 -3.641 -3.771 -3.832 -3.804 -3.690 -3.512 -3.296 -3.052 -2.778 -2.470 -2.125 -1.763
3.700 -1.852 -2.085 -2.316 -2.539 -2.752 -2.939 -3.076 -3.129 -3.078 -2.942 -2.755 -2.540 -2.311 -2.070 -1.818 -1.552 -1.270
3.750 -1.208 -1.414 -1.629 -1.844 -2.050 -2.234 -2.368 -2.416 -2.361 -2.224 -2.037 -1.827 -1.604 -1.373 -1.135 -0.888 -0.635
3.800 -0.799 -0.906 -1.050 -1.213 -1.377 -1.525 -1.630 -1.666 -1.619 -1.500 -1.334 -1.143 -0.938 -0.724 -0.500 -0.267 -0.025
3.850 -0.685 -0.683 -0.693 -0.727 -0.784 -0.845 -0.888 -0.892 -0.848 -0.756 -0.626 -0.469 -0.294 -0.105  0.095  0.308  0.534
3.900 -0.677 -0.650 -0.596 -0.509 -0.403 -0.305 -0.225 -0.156 -0.087 -0.006  0.092  0.211  0.348  0.499  0.666  0.849  1.050
3.950 -0.683 -0.657 -0.597 -0.481 -0.292 -0.044  0.212  0.420  0.571  0.686  0.781  0.874  0.972  1.085  1.212  1.360  1.530
4.000 -0.675 -0.662 -0.614 -0.503 -0.304 -0.009  0.353  0.714  1.006  1.211  1.348  1.449  1.534  1.621  1.717  1.832  1.968
4.050 -0.618 -0.626 -0.606 -0.523 -0.345 -0.059  0.321  0.749  1.158  1.488  1.721  1.875  1.982  2.068  2.150  2.244  2.356










