########################################################################
# ROSSELAND MEAN OPACITY COEFFICIENTS                                  #
#----------------------------------------------------------------------#
# Lodders 2003                        # Abundances                     #
# Z = 0.008                           # Initial metallicity            #
#----------------------------------------------------------------------#
# X( 12C  ) = 1.31527E-03             # Initial mass fractions         #
# X( 14N  ) = 4.25892E-04                                              #
# X( 16O  ) = 3.52875E-03                                              #
# X( 20Ne ) = 6.21947E-04                                              #
# X( 24Mg ) = 3.03525E-04                                              #
# X( 28Si ) = 4.03962E-04                                              #
# X( 32S  ) = 2.12445E-04                                              #
# X( 40Ca ) = 3.82676E-05                                              #
# X( 48Ti ) = 1.32747E-06                                              #
########################################################################

# TABLE SUMMARY ########################################################
##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.492000   0.008000       0.501       1.0       1.0       1.0
 2   0.5   0.490948   0.009052       0.898       1.8       1.0       1.0
 3   0.5   0.490685   0.009315       0.997       2.0       1.0       1.0
 4   0.5   0.490422   0.009578       1.096       2.2       1.0       1.0
 5   0.5   0.486739   0.013261       2.484       5.0       1.0       1.0
 6   0.5   0.480163   0.019837       4.962      10.0       1.0       1.0
 7   0.5   0.467010   0.032990       9.918      20.0       1.0       1.0
 8   0.7   0.292000   0.008000       0.501       1.0       1.0       1.0
 9   0.7   0.290948   0.009052       0.898       1.8       1.0       1.0
10   0.7   0.290685   0.009315       0.997       2.0       1.0       1.0
11   0.7   0.290422   0.009578       1.096       2.2       1.0       1.0
12   0.7   0.286739   0.013261       2.484       5.0       1.0       1.0
13   0.7   0.280163   0.019837       4.962      10.0       1.0       1.0
14   0.7   0.267010   0.032990       9.918      20.0       1.0       1.0
15   0.8   0.192000   0.008000       0.501       1.0       1.0       1.0
16   0.8   0.190948   0.009052       0.898       1.8       1.0       1.0
17   0.8   0.190685   0.009315       0.997       2.0       1.0       1.0
18   0.8   0.190422   0.009578       1.096       2.2       1.0       1.0
19   0.8   0.186739   0.013261       2.484       5.0       1.0       1.0
20   0.8   0.180163   0.019837       4.962      10.0       1.0       1.0
21   0.8   0.167010   0.032990       9.918      20.0       1.0       1.0
22   0.5   0.491574   0.008426       0.501       1.0       2.0       1.0
23   0.5   0.490522   0.009478       0.898       1.8       2.0       1.0
24   0.5   0.490259   0.009741       0.997       2.0       2.0       1.0
25   0.5   0.489996   0.010004       1.096       2.2       2.0       1.0
26   0.5   0.486313   0.013687       2.484       5.0       2.0       1.0
27   0.5   0.479737   0.020263       4.962      10.0       2.0       1.0
28   0.5   0.466584   0.033416       9.918      20.0       2.0       1.0
29   0.7   0.291574   0.008426       0.501       1.0       2.0       1.0
30   0.7   0.290522   0.009478       0.898       1.8       2.0       1.0
31   0.7   0.290259   0.009741       0.997       2.0       2.0       1.0
32   0.7   0.289996   0.010004       1.096       2.2       2.0       1.0
33   0.7   0.286313   0.013687       2.484       5.0       2.0       1.0
34   0.7   0.279737   0.020263       4.962      10.0       2.0       1.0
35   0.7   0.266584   0.033416       9.918      20.0       2.0       1.0
36   0.8   0.191574   0.008426       0.501       1.0       2.0       1.0
37   0.8   0.190522   0.009478       0.898       1.8       2.0       1.0
38   0.8   0.190259   0.009741       0.997       2.0       2.0       1.0
39   0.8   0.189996   0.010004       1.096       2.2       2.0       1.0
40   0.8   0.186313   0.013687       2.484       5.0       2.0       1.0
41   0.8   0.179737   0.020263       4.962      10.0       2.0       1.0
42   0.8   0.166584   0.033416       9.918      20.0       2.0       1.0
43   0.5   0.490722   0.009278       0.501       1.0       4.0       1.0
44   0.5   0.489670   0.010330       0.898       1.8       4.0       1.0
45   0.5   0.489407   0.010593       0.997       2.0       4.0       1.0
46   0.5   0.489144   0.010856       1.096       2.2       4.0       1.0
47   0.5   0.485461   0.014539       2.484       5.0       4.0       1.0
48   0.5   0.478885   0.021115       4.962      10.0       4.0       1.0
49   0.5   0.465732   0.034268       9.918      20.0       4.0       1.0
50   0.7   0.290722   0.009278       0.501       1.0       4.0       1.0
51   0.7   0.289670   0.010330       0.898       1.8       4.0       1.0
52   0.7   0.289407   0.010593       0.997       2.0       4.0       1.0
53   0.7   0.289144   0.010856       1.096       2.2       4.0       1.0
54   0.7   0.285461   0.014539       2.484       5.0       4.0       1.0
55   0.7   0.278885   0.021115       4.962      10.0       4.0       1.0
56   0.7   0.265732   0.034268       9.918      20.0       4.0       1.0
57   0.8   0.190722   0.009278       0.501       1.0       4.0       1.0
58   0.8   0.189670   0.010330       0.898       1.8       4.0       1.0
59   0.8   0.189407   0.010593       0.997       2.0       4.0       1.0
60   0.8   0.189144   0.010856       1.096       2.2       4.0       1.0
61   0.8   0.185461   0.014539       2.484       5.0       4.0       1.0
62   0.8   0.178885   0.021115       4.962      10.0       4.0       1.0
63   0.8   0.165732   0.034268       9.918      20.0       4.0       1.0
########################################################################










##     X          Y          Z         C/O       12C       14N     Alpha
 1   0.5   0.492000   0.008000       0.501       1.0       1.0       1.0

                                          log R
log T -7.000 -6.500 -6.000 -5.500 -5.000 -4.500 -4.000 -3.500 -3.000 -2.500 -2.000 -1.500 -1.000 -0.500  0.000  0.500  1.000
3.200 -4.488 -3.779 -3.137 -2.766 -2.635 -2.596 -2.583 -2.578 -2.574 -2.572 -2.569 -2.567 -2.564 -2.561 -2.558 -2.556 -2.553
3.250 -5.320 -5.189 -4.849 -4.259 -3.552 -2.940 -2.577 -2.436 -2.390 -2.372 -2.364 -2.358 -2.354 -2.350 -2.345 -2.340 -2.334
3.300 -5.256 -5.257 -5.237 -5.164 -4.940 -4.464 -3.791 -3.123 -2.618 -2.347 -2.244 -2.206 -2.189 -2.178 -2.170 -2.161 -2.152
3.350 -4.932 -5.024 -5.097 -5.138 -5.140 -5.087 -4.906 -4.483 -3.831 -3.152 -2.608 -2.272 -2.120 -2.059 -2.029 -2.010 -1.993
3.400 -4.564 -4.625 -4.702 -4.791 -4.880 -4.951 -4.982 -4.937 -4.745 -4.312 -3.669 -3.002 -2.468 -2.129 -1.960 -1.878 -1.831
