Z            fC1      fC2      fC3      fC4      fC5      fC6      fC7      fN1      fN2      fN3
0.04000      1.0      1.2      1.5      1.8      2.0      2.2      3.0      1.0      1.2      1.5
0.02000      1.0      1.5      1.8      2.0      2.2      3.0      5.0      1.0      1.5      2.0
0.01000      1.0      1.5      1.8      2.0      2.2      5.0     10.0      1.0      1.5      3.0
0.00800      1.0      1.8      2.0      2.2      5.0     10.0     20.0      1.0      2.0      4.0
0.00600      1.0      1.8      2.0      2.2      5.0     10.0     30.0      1.0      2.5      5.0
0.00500      1.0      1.8      2.0      2.2      5.0     10.0     30.0      1.0      2.5      5.0
0.00400      1.0      1.8      2.0      2.2      5.0     10.0     30.0      1.0      2.5      5.0
0.00300      1.0      1.8      2.0      2.2      6.0     20.0     70.0      1.0      3.0      8.0
0.00200      1.0      1.8      2.0      2.2      6.0     20.0     70.0      1.0      3.0      8.0
0.00100      1.0      1.8      2.0      2.2      8.0     35.0    150.0      1.0      4.0     16.0
0.00030      1.0      1.8      2.0      2.2     12.0     75.0    500.0      1.0      7.0     50.0
0.00010      1.0      1.8      2.0      2.2     18.0    150.0   1500.0      1.0     12.0    150.0
0.00003      1.0      1.8      2.0      2.2     27.0    350.0   5000.0      1.0     22.0    500.0
0.00001      1.0      1.8      2.0      2.2     40.0    750.0  15000.0      1.0     40.0   1500.0
